symbol,name,price,exchange,exchangeShortName,type
VELJAN.BO,Veljan Denison Limited,3629.9,Bombay Stock Exchange,BSE,stock
1655.HK,Okura Holdings Limited,0.365,HKSE,HKSE,stock
ROYL,"Royale Energy, Inc.",0.065,Other OTC,PNK,stock
PEY.TO,Peyto Exploration & Development Corp.,15.04,Toronto Stock Exchange,TSX,stock
SANGAMFIN.BO,Sangam Finserv Limited,105.0,Bombay Stock Exchange,BSE,stock
CNLPL,The Connecticut Light and Power Company,51.93,Other OTC,PNK,stock
DODLX,Dodge & Cox Global Bond Fund,10.74,NASDAQ,NASDAQ,trust
BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V.",36.47,Mexico,MEX,stock
300807.SZ,"Zhengzhou Tiamaes Technology Co., Ltd",27.87,Shenzhen,SHZ,stock
300567.SZ,"Wuhan Jingce Electronic Group Co.,Ltd",67.6,Shenzhen,SHZ,stock
7084.KL,QL Resources Berhad,5.96,Kuala Lumpur,KLS,stock
271560.KS,ORION Corp.,93400.0,KSE,KSC,stock
HVRRY,Hannover Rück SE,45.02,Other OTC,PNK,stock
603332.SS,"Suzhou Longjie Special Fiber Co., Ltd.",8.65,Shanghai,SHH,stock
XEC.TO,iShares Core MSCI Emerging Markets IMI Index ETF,27.18,Toronto Stock Exchange,TSX,etf
601600.SS,Aluminum Corporation of China Limited,7.23,Shanghai,SHH,stock
NESCO.NS,Nesco Limited,849.7,National Stock Exchange of India,NSE,stock
AUGX,"Augmedix, Inc.",4.02,NASDAQ Capital Market,NASDAQ,stock
9719.T,SCSK Corporation,2765.0,Tokyo,JPX,stock
MEGACPO.MX,"Megacable Holdings, S. A. B. de C. V.",48.47,Mexico,MEX,stock
TCN.TO,Tricon Residential Inc.,15.15,Toronto Stock Exchange,TSX,stock
MRAAY,"Murata Manufacturing Co., Ltd.",9.19,Other OTC,PNK,stock
8005.HK,Yuxing InfoTech Investment Holdings Limited,0.173,HKSE,HKSE,stock
3838.HK,China Starch Holdings Limited,0.15,HKSE,HKSE,stock
300062.SZ,"Ceepower Co., Ltd.",5.16,Shenzhen,SHZ,stock
COHR,"Coherent, Inc.",58.9,NASDAQ Global Select,NASDAQ,stock
603178.SS,"Ningbo Shenglong Automotive Powertrain System Co.,Ltd.",30.05,Shanghai,SHH,stock
PTEZX,PGIM Quant Solutions Large-Cap Core Equity Fund,21.55,NASDAQ,NASDAQ,trust
TNPF.BK,Trinity Freehold and Leasehold Property Fund,1.68,Thailand,SET,trust
002338.SZ,"Changchun UP Optotech Co.,Ltd.",30.92,Shenzhen,SHZ,stock
MRAM,"Everspin Technologies, Inc.",7.82,NASDAQ Global Market,NASDAQ,stock
MITRA.BR,Mithra Pharmaceuticals SA,0.247,Brussels,EURONEXT,stock
AOI.ST,Africa Oil Corp.,19.18,Stockholm Stock Exchange,STO,stock
FSV,FirstService Corporation,161.56,NASDAQ Global Select,NASDAQ,stock
ASML.WA,ASML Holding N.V.,3997.5,Warsaw Stock Exchange,WSE,stock
CONTAINE.BO,CONTAINE TECHNOLOGIES LIMITED,83.4,Bombay Stock Exchange,BSE,stock
ESSA,"ESSA Bancorp, Inc.",17.49,NASDAQ Global Select,NASDAQ,stock
0QYR.L,Panasonic Corp,1389.2976,London Stock Exchange,LSE,stock
0471.HK,Silkwave Inc,0.177,HKSE,HKSE,stock
GRFX,Graphex Group Limited,0.305,American Stock Exchange,AMEX,stock
MSYS.L,Microsaic Systems plc,1.2,London Stock Exchange,LSE,stock
001230.KS,Dongkuk Steel Mill Company Limited,8150.0,KSE,KSC,stock
SATT,Sativus Tech Corp.,0.2,Other OTC,PNK,stock
JNVR,Janover Inc.,1.22,NASDAQ Capital Market,NASDAQ,stock
0292.HK,Asia Standard Hotel Group Limited,0.058,HKSE,HKSE,stock
ATR,"AptarGroup, Inc.",140.63,New York Stock Exchange,NYSE,stock
HANZA.ST,Hanza AB (publ),67.15,Stockholm Stock Exchange,STO,stock
GLTL.L,SPDR Bloomberg 15+ Year Gilt UCITS ETF,39.32,London Stock Exchange,LSE,etf
TPVG,TriplePoint Venture Growth BDC Corp.,9.24,New York Stock Exchange,NYSE,stock
EMKR,EMCORE Corporation,3.64,NASDAQ Global Market,NASDAQ,stock
ALC.TO,Algoma Central Corporation,14.76,Toronto Stock Exchange,TSX,stock
0MUF.L,CENIT Aktiengesellschaft,12.3,London Stock Exchange,LSE,stock
AMPS,"Altus Power, Inc.",4.69,New York Stock Exchange,NYSE,stock
1737.TW,"Taiyen Biotech Co., Ltd.",33.75,Taiwan,TAI,stock
EVTC,"EVERTEC, Inc.",38.4,New York Stock Exchange,NYSE,stock
ZIG,The Acquirers Fund ETF,37.115,New York Stock Exchange Arca,AMEX,etf
0Z4I.L,Sunny Optical Technology (Group) Company Limited,40.6729,London Stock Exchange,LSE,stock
EQTL,Equitech International Corporation,1.2,Other OTC,PNK,stock
HHLE.TO,Harvest Healthcare Leaders Enhanced Income ETF,10.44,Toronto Stock Exchange,TSX,etf
1083.HK,Towngas Smart Energy Company Limited,3.07,HKSE,HKSE,stock
CISY.TA,CI Systems (Israel) Ltd.,1769.0,Tel Aviv,TLV,stock
0082.HK,Crazy Sports Group Limited,0.091,HKSE,HKSE,stock
3280.T,"STrust Co.,Ltd.",684.0,Tokyo,JPX,stock
6901.T,"Sawafuji Electric Co., Ltd.",1226.0,Tokyo,JPX,stock
0QK5.L,INFICON Holding AG,1286.3319,London Stock Exchange,LSE,stock
ZZRG.F,Allianz Global Investors Fund - Allianz Global Artificial Intelligence Fund,24.37,Frankfurt Stock Exchange,XETRA,etf
BLGO,"BioLargo, Inc.",0.2994,Other OTC,PNK,stock
CELZ,"Creative Medical Technology Holdings, Inc.",5.62,NASDAQ Capital Market,NASDAQ,stock
VU.PA,VusionGroup,146.8,Paris,BRU,stock
ARTMX,Artisan Mid Cap Fund Inv Shs,37.7,NASDAQ,NASDAQ,trust
0083.HK,Sino Land Company Limited,8.16,HKSE,HKSE,stock
CHCI,"Comstock Holding Companies, Inc.",5.22,NASDAQ Capital Market,NASDAQ,stock
9992.HK,Pop Mart International Group Limited,29.85,HKSE,HKSE,stock
SGU,"Star Group, L.P.",10.42,New York Stock Exchange,NYSE,stock
LMKDC.IS,LIMAK DOGU ANADOLU,27.96,Istanbul Stock Exchange,IST,stock
RMRDF,Radisson Mining Resources Inc.,0.1447,Other OTC,PNK,stock
BORR,Borr Drilling Limited,6.21,New York Stock Exchange,NYSE,stock
603817.SS,"Fujian Haixia Environmental Protection Group Co.,Ltd.",5.58,Shanghai,SHH,stock
EEG.AX,Empire Energy Group Limited,0.17,Australian Securities Exchange,ASX,stock
QUAL.AT,Quality & Reliability A.B.E.E,1.24,Athens,ATH,stock
BOFFICE.BK,Bhiraj Office Leasehold Real Estate Investment Trust,4.96,Thailand,SET,stock
1316.HK,Nexteer Automotive Group Limited,3.59,HKSE,HKSE,stock
NOTE.ST,NOTE AB (publ),143.0,Stockholm Stock Exchange,STO,stock
KRBP,"Kiromic BioPharma, Inc.",2.85,NASDAQ Capital Market,NASDAQ,stock
ERG.MI,ERG S.p.A.,23.06,Milan,EURONEXT,stock
SIBN,"SI-BONE, Inc.",15.57,NASDAQ Global Market,NASDAQ,stock
JLG.AX,Johns Lyng Group Limited,6.135,Australian Securities Exchange,ASX,stock
GMPXF,RF Capital Group Inc.,5.36,Other OTC,PNK,stock
601113.SS,"Yiwu Huading Nylon Co.,Ltd.",3.63,Shanghai,SHH,stock
601818.SS,China Everbright Bank Company Limited,3.08,Shanghai,SHH,stock
BWAY.TA,BrainsWay Ltd.,1002.0,Tel Aviv,TLV,stock
HAPPSTMNDS.BO,Happiest Minds Technologies Limited,805.7,Bombay Stock Exchange,BSE,stock
003475.KS,"Yuanta Securities Korea Co., Ltd.",2720.0,KSE,KSC,stock
2386.HK,"SINOPEC Engineering (Group) Co., Ltd.",4.64,HKSE,HKSE,stock
2166.HK,Smart-Core Holdings Limited,1.3,HKSE,HKSE,stock
MVNE.TA,Mivne Real Estate (K.D) Ltd,921.6,Tel Aviv,TLV,stock
300455.SZ,"Beijing Aerospace Shenzhou Intelligent Equipment Technology Co., Ltd.",10.85,Shenzhen,SHZ,stock
3899.HK,CIMC Enric Holdings Limited,8.05,HKSE,HKSE,stock
IS7.DE,InTiCa Systems AG,4.18,Frankfurt Stock Exchange,XETRA,stock
4576.TW,Hiwin Mikrosystem Corp.,89.5,Taiwan,TAI,stock
SMN.AX,Structural Monitoring Systems Plc,0.42,Australian Securities Exchange,ASX,stock
RATO-A.ST,Ratos AB (publ),36.6,Stockholm Stock Exchange,STO,stock
QCCO,"QC Holdings, Inc.",0.465,Other OTC,PNK,stock
WING,Wingstop Inc.,359.88,NASDAQ Global Select,NASDAQ,stock
VGVF.DE,Vanguard FTSE Developed World UCITS ETF,93.04,Frankfurt Stock Exchange,XETRA,etf
4613.T,"Kansai Paint Co., Ltd.",2160.5,Tokyo,JPX,stock
092220.KS,Kec Corporation,1404.0,KSE,KSC,stock
688039.SS,"Hangzhou Arcvideo Technology Co., Ltd.",28.79,Shanghai,SHH,stock
NPR.AX,Newmark Property REIT,1.4,Australian Securities Exchange,ASX,stock
1060.HK,Alibaba Pictures Group Limited,0.46,HKSE,HKSE,stock
KNOS.L,Kainos Group plc,994.0,London Stock Exchange,LSE,stock
MTX.DE,MTU Aero Engines AG,234.5,Frankfurt Stock Exchange,XETRA,stock
0817.HK,China Jinmao Holdings Group Limited,0.52,HKSE,HKSE,stock
CUBE,CubeSmart,44.55,New York Stock Exchange,NYSE,stock
0L6Z.L,Sirius XM Holdings Inc.,3.6988,London Stock Exchange,LSE,stock
PCS.BO,PCS Technology Limited,32.07,Bombay Stock Exchange,BSE,stock
603577.SS,"Qingdao Huijintong Power Equipment Co.,Ltd.",8.24,Shanghai,SHH,stock
8850.T,Starts Corporation Inc.,3200.0,Tokyo,JPX,stock
WEST,"Westrock Coffee Company, LLC",10.22,NASDAQ Global Market,NASDAQ,stock
SITINET.NS,SITI Networks Limited,0.65,National Stock Exchange of India,NSE,stock
RSS.V,RESAAS Services Inc.,0.375,Toronto Stock Exchange Ventures,TSXV,stock
SIMPLXREA.BO,Simplex Realty Limited,138.1,Bombay Stock Exchange,BSE,stock
RYZAX,"Rydex Series Funds, S&P 500 Pure Value Fund H Class",101.51,NASDAQ,NASDAQ,trust
9958.HK,Litian Pictures Holdings Limited,4.69,HKSE,HKSE,stock
BHARATGEAR.BO,Bharat Gears Limited,108.7,Bombay Stock Exchange,BSE,stock
CTE.NS,Cambridge Technology Enterprises Limited,89.5,National Stock Exchange of India,NSE,stock
9633.HK,"Nongfu Spring Co., Ltd.",44.1,HKSE,HKSE,stock
1858.HK,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",9.6,HKSE,HKSE,stock
VROS.DE,Verianos SE,0.316,Frankfurt Stock Exchange,XETRA,stock
0ITS.L,"The Gap, Inc.",26.42,London Stock Exchange,LSE,stock
VCM.TO,Vecima Networks Inc.,20.42,Toronto Stock Exchange,TSX,stock
DIR-UN.TO,Dream Industrial Real Estate Investment Trust,12.73,Toronto Stock Exchange,TSX,stock
3NFE.L,Leverage Shares 3x Netflix ETC,57.556,London Stock Exchange,LSE,etf
ONEB.TO,CI ONE North American Core Plus Bond ETF,48.04,Toronto Stock Exchange,TSX,etf
IWML,ETRACS 2x Leveraged US Size Factor TR ETN,18.9799,New York Stock Exchange Arca,AMEX,etf
HELO,J.P. Morgan Exchange-Traded Fun,55.69,New York Stock Exchange Arca,AMEX,etf
BSX.AX,Blackstone Minerals Limited,0.06,Australian Securities Exchange,ASX,stock
METR.L,ETC Group Global Metaverse UCITS ETF,10.5,London Stock Exchange,LSE,etf
HQGO,Hartford US Quality Growth ETF,46.5109,NASDAQ,NASDAQ,etf
EXSR,"Exchange Bank (Santa Rosa, CA)",105.0,Other OTC,PNK,stock
REI,"Ring Energy, Inc.",1.99,American Stock Exchange,AMEX,stock
CJ1.SG,Norwegian Energy Co ASA,48.6,Stuttgart,STU,stock
HXS.TO,Horizons S&P 500 Index ETF,71.91,Toronto Stock Exchange,TSX,etf
GISSAA.MX,"Grupo Industrial Saltillo, S.A.B. de C.V.",23.4,Mexico,MEX,stock
603682.SS,"Shanghai Golden Union Business Management Co., Ltd.",4.9,Shanghai,SHH,stock
0733.HK,Hopefluent Group Holdings Limited,0.51,HKSE,HKSE,stock
5384.T,Fujimi Incorporated,3505.0,Tokyo,JPX,stock
NOBH,"Nobility Homes, Inc.",33.0,Other OTC,PNK,stock
NVST,Envista Holdings Corporation,20.33,New York Stock Exchange,NYSE,stock
0R2P.L,Deere & Company,402.6862,London Stock Exchange,LSE,stock
1171.HK,Yankuang Energy Group Company Limited,16.28,HKSE,HKSE,stock
ARPT.TA,Airport City Ltd.,6050.0,Tel Aviv,TLV,stock
DBRG-PJ,"DigitalBridge Group, Inc.",23.58,New York Stock Exchange,NYSE,stock
GDTC,CytoMed Therapeutics Limited,2.08,NASDAQ Capital Market,NASDAQ,stock
FCT.MI,Fincantieri S.p.A.,0.71,Milan,EURONEXT,stock
KRP,"Kimbell Royalty Partners, LP",15.88,New York Stock Exchange,NYSE,stock
BCG,"Binah Capital Group, Inc. Common Stock",7.48,Nasdaq,NASDAQ,stock
USLM,"United States Lime & Minerals, Inc.",294.78,NASDAQ Global Select,NASDAQ,stock
EQS,"Equus Total Return, Inc.",1.53,New York Stock Exchange,NYSE,stock
MRL.MC,"MERLIN Properties SOCIMI, S.A.",9.685,Madrid Stock Exchange,BME,stock
RCKSX,Rock Oak Core Growth Fund,18.17,NASDAQ,NASDAQ,trust
CK.BK,CH. Karnchang Public Company Limited,23.1,Thailand,SET,stock
F4DE.DE,Ossiam Food for Biodiversity UCITS ETF,114.66,Frankfurt Stock Exchange,XETRA,etf
1258.HK,China Nonferrous Mining Corporation Limited,6.62,HKSE,HKSE,stock
5108.T,Bridgestone Corporation,6634.0,Tokyo,JPX,stock
600082.SS,"Tianjin Hi-Tech Development Co.,Ltd.",2.85,Shanghai,SHH,stock
IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.,17.1,New York Stock Exchange,NYSE,trust
FBIZ,"First Business Financial Services, Inc.",34.71,NASDAQ Global Select,NASDAQ,stock
0R3M.L,Vivoryon Therapeutics N.V.,0.533,London Stock Exchange,LSE,stock
LAND,Gladstone Land Corporation,13.08,NASDAQ Global Market,NASDAQ,stock
LATG,LatAmGrowth SPAC,11.25,NASDAQ Global Market,NASDAQ,stock
BPFG.F,Banpu Public Company Limited,0.119,Frankfurt Stock Exchange,XETRA,stock
SBGLP.BO,Suratwwala Business Group Limited,932.2,Bombay Stock Exchange,BSE,stock
DSHK,Drive Shack Inc.,0.25,Other OTC,PNK,stock
VLUE,iShares MSCI USA Value Factor ETF,106.79,BATS,ETF,etf
LSF,"Laird Superfood, Inc.",2.68,American Stock Exchange,AMEX,stock
5BTS.MI,WisdomTree BTP 10Y 5x Daily Short,11.58,Milan,EURONEXT,etf
1121.HK,Golden Solar New Energy Technology Holdings Limited,4.94,HKSE,HKSE,stock
AIMDW,"Ainos, Inc.",0.0643,NASDAQ Global Market,NASDAQ,stock
M2M.AX,Mt Malcolm Mines NL,0.023,Australian Securities Exchange,ASX,stock
2688.HK,ENN Energy Holdings Limited,61.45,HKSE,HKSE,stock
ESLT.TA,Elbit Systems Ltd.,76910.0,Tel Aviv,TLV,stock
COHN,Cohen & Company Inc.,7.36,American Stock Exchange,AMEX,stock
1199.HK,COSCO SHIPPING Ports Limited,4.63,HKSE,HKSE,stock
MATW,Matthews International Corporation,29.01,NASDAQ Global Select,NASDAQ,stock
048410.KQ,"Hyundai Bioscience Co., Ltd.",20750.0,KOSDAQ,KOE,stock
MPAA,"Motorcar Parts of America, Inc.",7.63,NASDAQ Global Select,NASDAQ,stock
JP40.DE,Amundi Index Solutions - Amundi JPX-Nikkei 400 UCITS ETF-C EUR,181.9,Frankfurt Stock Exchange,XETRA,etf
271980.KS,"Jeil Pharmaceutical Co.,Ltd",16450.0,KSE,KSC,stock
WCW.L,Walker Crips Group plc,23.4,London Stock Exchange,LSE,stock
1776.T,"Sumiken Mitsui Road Co.,Ltd.",1129.0,Tokyo,JPX,stock
ESE,ESCO Technologies Inc.,103.08,New York Stock Exchange,NYSE,stock
PSDN.JK,PT Prasidha Aneka Niaga Tbk,84.0,Jakarta Stock Exchange,JKT,stock
002554.SZ,"China Oil HBP Science & Technology Co., Ltd",2.94,Shenzhen,SHZ,stock
0GEG.L,Vaisala Oyj,38.28019,London Stock Exchange,LSE,stock
MDV,Modiv Inc.,15.9,New York Stock Exchange,NYSE,stock
CBGZF,Cabral Gold Inc.,0.14,Other OTC,PNK,stock
SIGNATURE.BO,Signatureglobal (India) Limited,1355.35,Bombay Stock Exchange,BSE,stock
6517.T,"Denyo Co., Ltd.",2244.0,Tokyo,JPX,stock
CGN.JO,Cognition Holdings Limited,100.0,Johannesburg,JNB,stock
IDIP.PA,IDI,74.8,Paris,EURONEXT,stock
BOGIX,SGI Small Cap Core Fund,30.68,NASDAQ,NASDAQ,trust
1775.T,Fuji Furukawa Engineering & Construction Co.Ltd.,5560.0,Tokyo,JPX,stock
NXS.AX,Next Science Limited,0.35,Australian Securities Exchange,ASX,stock
000838.SZ,"CASIN Real Estate Development Group Co.,Ltd.",3.5,Shenzhen,SHZ,stock
YUMAQ,"Yuma Energy, Inc.",1e-06,Other OTC,PNK,stock
FTCS,First Trust Capital Strength ETF,84.45,NASDAQ Global Market,NASDAQ,etf
CCH.L,Coca-Cola HBC AG,2448.0,London Stock Exchange,LSE,stock
605388.SS,"Hubei Juneyao Health Drinks Co., Ltd",9.22,Shanghai,SHH,stock
36BB.DE,iShares MSCI World Consumer Discretionary Sector UCITS ETF,7.041,Frankfurt Stock Exchange,XETRA,etf
3638.HK,Huabang Technology Holdings Limited,0.475,HKSE,HKSE,stock
MIT.BK,MFC Industrial Real Estate Investment Trust,0.81,Thailand,SET,stock
KSC.AX,K&S Corporation Limited,3.55,Australian Securities Exchange,ASX,stock
PADALPO.BO,Padmanabh Alloys and Polymers Limited,22.42,Bombay Stock Exchange,BSE,stock
0GXK.L,VBG Group AB (publ),309.3693,London Stock Exchange,LSE,stock
BWBBP,"Bridgewater Bancshares, Inc.",17.71,NASDAQ Capital Market,NASDAQ,stock
000407.SZ,"Shandong Shengli Co., Ltd.",3.33,Shenzhen,SHZ,stock
0FF.SG,2020 Bulkers Ltd,12.71,Stuttgart,STU,stock
8393.T,"The Miyazaki Bank, Ltd.",2740.0,Tokyo,JPX,stock
002431.SZ,"Palm Eco-Town Development Co., Ltd",2.38,Shenzhen,SHZ,stock
1196.HK,Realord Group Holdings Limited,5.33,HKSE,HKSE,stock
001740.KS,SK Networks Company Limited,5750.0,KSE,KSC,stock
603815.SS,"Anhui Gourgen Traffic Construction Co.,Ltd.",7.64,Shanghai,SHH,stock
CQQQ,Invesco China Technology ETF,32.59,New York Stock Exchange Arca,AMEX,etf
012450.KS,"Hanwha Aerospace Co., Ltd.",226500.0,KSE,KSC,stock
NAII,"Natural Alternatives International, Inc.",6.76,NASDAQ Global Market,NASDAQ,stock
0750.HK,China Shuifa Singyes Energy Holdings Limited,0.335,HKSE,HKSE,stock
600990.SS,"Sun Create Electronics Co., Ltd",18.29,Shanghai,SHH,stock
8361.T,"The Ogaki Kyoritsu Bank, Ltd.",2100.0,Tokyo,JPX,stock
1799.T,Daiichi Kensetsu Corporation,1754.0,Tokyo,JPX,stock
PSPN.SW,PSP Swiss Property AG,117.5,Swiss Exchange,SIX,stock
3669.TW,AVer Information Inc.,51.7,Taiwan,TAI,stock
026890.KS,"STIC Investments, Inc.",7550.0,KSE,KSC,stock
8801.T,"Mitsui Fudosan Co., Ltd.",1590.0,Tokyo,JPX,stock
GOOD,Gladstone Commercial Corporation,13.46,NASDAQ Global Select,NASDAQ,stock
SIXL,ETC 6 Meridian Low Beta Equity Strategy ETF,34.17,New York Stock Exchange Arca,AMEX,etf
IDVV,International Endeavors Corp,0.00035,Other OTC,PNK,stock
603167.SS,"Bohai Ferry Group Co., Ltd.",9.72,Shanghai,SHH,stock
3989.HK,Capital Environment Holdings Limited,0.084,HKSE,HKSE,stock
MTTRY,Ceconomy AG,0.349675,Other OTC,PNK,stock
1U1.DE,1&1 AG,15.8,Frankfurt Stock Exchange,XETRA,stock
AMARJOTHI.BO,Amarjothi Spinning Mills Limited,177.2,Bombay Stock Exchange,BSE,stock
NTNX,"Nutanix, Inc.",61.13,NASDAQ Global Select,NASDAQ,stock
CTPNV.AS,CTP N.V.,16.36,Amsterdam,EURONEXT,stock
RMMC.L,River and Mercantile UK Micro Cap Investment Company Limited,155.0,London Stock Exchange,LSE,stock
SKYGOLD.BO,Sky Gold Limited,1018.55,Bombay Stock Exchange,BSE,stock
3857.T,"LAC Co., Ltd.",771.0,Tokyo,JPX,stock
GRT.JO,Growthpoint Properties Limited,1122.0,Johannesburg,JNB,stock
S56.SI,Samudera Shipping Line Ltd,0.845,Stock Exchange of Singapore,SES,stock
688798.SS,"Shanghai Awinic Technology Co.,Ltd.",54.86,Shanghai,SHH,stock
CI2.PA,Amundi Index Solutions - Amundi MSCI India,917.4316,Paris,EURONEXT,etf
TKOI,"Telkonet, Inc.",0.007,Other OTC,PNK,stock
BGBIO.OL,BerGenBio ASA,0.1804,Oslo Stock Exchange,OSL,stock
3883.HK,China Aoyuan Group Limited,0.142,HKSE,HKSE,stock
FRA.DE,Fraport AG,47.32,Frankfurt Stock Exchange,XETRA,stock
FSEU.L,iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc),780.2,London Stock Exchange,LSE,etf
FKU,First Trust United Kingdom AlphaDEX Fund,37.1,NASDAQ Global Market,NASDAQ,etf
8360.HK,AL Group Limited,0.65,HKSE,HKSE,stock
4150.SR,Arriyadh Development Co.,24.16,Saudi,SAU,stock
688257.SS,Shareate Tools Ltd.,22.68,Shanghai,SHH,stock
063160.KS,CKD Bio Corp.,23200.0,KSE,KSC,stock
TPHS,Trinity Place Holdings Inc.,0.1403,American Stock Exchange,AMEX,stock
DGE.WA,DRAGO entertainment Spólka Akcyjna,24.7,Warsaw Stock Exchange,WSE,stock
002858.SZ,"Lisheng Sports (hanghai) Co., Ltd.",13.97,Shenzhen,SHZ,stock
MV4.SI,Mewah International Inc.,0.29,Stock Exchange of Singapore,SES,stock
SFPI.PA,GROUPE SFPI SA,1.99,Paris,EURONEXT,stock
8198.HK,Loto Interactive Limited,0.196,HKSE,HKSE,stock
BLAND.BK,Bangkok Land Public Company Limited,0.69,Thailand,SET,stock
WBIF,WBI BullBear Value 3000 ETF,30.2,New York Stock Exchange Arca,AMEX,etf
BND,Vanguard Total Bond Market Index Fund,71.84,NASDAQ Global Market,NASDAQ,etf
BTE,Baytex Energy Corp.,3.9,New York Stock Exchange,NYSE,stock
EFK.WA,Korporacja Gospodarcza efekt S.A.,7.0,Warsaw Stock Exchange,WSE,stock
NGENIC.ST,Ngenic AB (publ),8.7,Stockholm Stock Exchange,STO,stock
FCNCP,"First Citizens BancShares, Inc.",22.5,NASDAQ Global Select,NASDAQ,stock
C73.PA,Amundi ETF Govt Bond Euro Broad Investment Grade 7-10 UCITS ETF DR,239.11,Paris,EURONEXT,etf
OIII.V,O3 Mining Inc.,1.43,Toronto Stock Exchange Ventures,TSXV,stock
TRH1V.HE,Trainers' House Oyj,2.37,Helsinki,HEL,stock
1ARG.L,LS ARK Genomic Revolution Tracker ETC,2.3411,London Stock Exchange,LSE,etf
JUBLINDS.NS,Jubilant Industries Limited,1226.6,National Stock Exchange of India,NSE,stock
6219.TWO,"Full Wang International Development Co., Ltd.",38.55,Taipei Exchange,TWO,stock
3475.T,"Good Com Asset Co., Ltd.",824.0,Tokyo,JPX,stock
APPF,"AppFolio, Inc.",235.74,NASDAQ Global Market,NASDAQ,stock
HYPMY,Hypera S.A.,6.38,Other OTC,PNK,stock
0784.HK,Ling Yui Holdings Limited,0.084,HKSE,HKSE,stock
2520.TW,"Kindom Development Co., Ltd.",42.65,Taiwan,TAI,stock
3242.T,"Urbanet Corporation Co.,Ltd.",423.0,Tokyo,JPX,stock
1165.HK,Shunfeng International Clean Energy Limited,0.022,HKSE,HKSE,stock
688020.SS,"Guangzhou Fangbang Electronics Co.,Ltd",31.84,Shanghai,SHH,stock
600622.SS,"Everbright Jiabao Co., Ltd.",2.4,Shanghai,SHH,stock
MU,"Micron Technology, Inc.",122.75,NASDAQ Global Select,NASDAQ,stock
002314.SZ,"Shenzhen New Nanshan Holding (Group) Co., Ltd.",2.53,Shenzhen,SHZ,stock
CDMIL.ST,CodeMill AB (publ),9.1,Stockholm Stock Exchange,STO,stock
KPD.WA,Koszalinskie Przedsiebiorstwo Przemyslu Drzewnego Spólka Akcyjna,50.0,Warsaw Stock Exchange,WSE,stock
NRP.JO,NEPI Rockcastle S.A.,13027.0,Johannesburg,JNB,stock
0I4Q.L,"Wolfspeed, Inc.",28.1393,London Stock Exchange,LSE,stock
3289.T,Tokyu Fudosan Holdings Corporation,1201.0,Tokyo,JPX,stock
KARURVYSYA.NS,The Karur Vysya Bank Limited,185.85,National Stock Exchange of India,NSE,stock
ORA.TA,"Ormat Technologies, Inc.",23670.0,Tel Aviv,TLV,stock
PRNT,The 3D Printing ETF,22.18,BATS,ETF,etf
MLPAC.PA,Pacte Novation,8.0,Paris,EURONEXT,stock
STRS,Stratus Properties Inc.,22.05,NASDAQ Global Select,NASDAQ,stock
9988.HK,Alibaba Group Holding Limited,71.0,HKSE,HKSE,stock
SADBHIN.NS,Sadbhav Infrastructure Project Limited,7.1,National Stock Exchange of India,NSE,stock
LLC.AX,Lendlease Group,6.265,Australian Securities Exchange,ASX,stock
0QKB.L,LEM Holding SA,1684.3871,London Stock Exchange,LSE,stock
ARTL,"Artelo Biosciences, Inc.",1.5,NASDAQ Capital Market,NASDAQ,stock
GICSAB.MX,Grupo Gicsa S.A.B. de C.V.,2.4,Mexico,MEX,stock
0QPJ.L,Cembra Money Bank AG,76.1992,London Stock Exchange,LSE,stock
MEX.WA,Mex Polska S.A.,4.17,Warsaw Stock Exchange,WSE,stock
NREN.SW,Novavest Real Estate AG,34.0,Swiss Exchange,SIX,stock
5525.TW,"Sweeten Real Estate Development Co.,Ltd.",32.15,Taiwan,TAI,stock
VNA.DE,Vonovia SE,26.4,Frankfurt Stock Exchange,XETRA,stock
0JQR.L,KeyCorp,15.242,London Stock Exchange,LSE,stock
R66.DE,Phillips 66,154.96,Frankfurt Stock Exchange,XETRA,stock
600604.SS,"Shanghai Shibei Hi-Tech Co.,Ltd.",4.12,Shanghai,SHH,stock
EV1.F,China Evergrande Group,0.0251,Frankfurt Stock Exchange,XETRA,stock
1718.TW,China Man-Made Fiber Corporation,7.27,Taiwan,TAI,stock
CSRNF,Canstar Resources Inc.,0.02325,Other OTC,PNK,stock
EAX.AX,Energy Action Limited,0.18,Australian Securities Exchange,ASX,stock
TSPA,T. Rowe Price US Equity Research ETF,32.475,New York Stock Exchange Arca,AMEX,etf
VAPR,"VaporBrands International, Inc.",0.0126,Other OTC,PNK,stock
PTBL.TA,Property & Building Corp. Ltd.,22380.0,Tel Aviv,TLV,stock
VESTA.MX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",65.47,Mexico,MEX,stock
NIVI-B.ST,Nivika Fastigheter AB (publ),33.3,Stockholm Stock Exchange,STO,stock
UGE.V,UGE International Ltd.,0.78,Toronto Stock Exchange Ventures,TSXV,stock
1401.HK,Sprocomm Intelligence Limited,2.48,HKSE,HKSE,stock
JYILOB.CO,Jyske Invest Lange Obligationer KL,88.8,Copenhagen,CPH,stock
8803.T,"Heiwa Real Estate Co., Ltd.",3885.0,Tokyo,JPX,stock
