symbol,name,price,exchange,exchangeShortName,type
4956.TW,"Epileds Technologies, Inc.",18.65,Taiwan,TAI,stock
688107.SS,"Shanghai Anlogic Infotech Co., Ltd.",25.33,Shanghai,SHH,stock
OPTX,"Syntec Optics Holdings, Inc.",4.015,NASDAQ Capital Market,NASDAQ,stock
PLRM.TA,Palram Industries (1990) Ltd,4995.0,Tel Aviv,TLV,stock
JIHD.JK,PT Jakarta International Hotels & Development Tbk,374.0,Jakarta Stock Exchange,JKT,stock
7235.KL,Superlon Holdings Berhad,1.03,Kuala Lumpur,KLS,stock
0163.KL,Careplus Group Berhad,0.285,Kuala Lumpur,KLS,stock
7100.KL,Uchi Technologies Berhad,3.92,Kuala Lumpur,KLS,stock
3712.TW,"FIT Holding Co., Ltd.",43.55,Taiwan,TAI,stock
P9D.SI,Civmec Limited,0.78,Stock Exchange of Singapore,SES,stock
IWO,iShares Russell 2000 Growth ETF,263.38,New York Stock Exchange Arca,AMEX,etf
EESG.PA,Amundi Index Solutions - Amundi Index MSCI EMU SRI PAB,83.23,Paris,EURONEXT,etf
HOKCY,The Hong Kong and China Gas Company Limited,0.73,Other OTC,PNK,stock
2722.HK,"Chongqing Machinery & Electric Co., Ltd.",0.69,HKSE,HKSE,stock
6888.KL,Axiata Group Berhad,2.67,Kuala Lumpur,KLS,stock
ITC.NS,ITC Limited,425.85,National Stock Exchange of India,NSE,stock
BULD,Pacer BlueStar Engineering the Future ETF,23.41,NASDAQ Global Market,NASDAQ,etf
PRAGBOS.BO,Prag Bosimi Synthetics Limited,3.1,Bombay Stock Exchange,BSE,stock
0040.KL,OpenSys (M) Berhad,0.39,Kuala Lumpur,KLS,stock
WIIK.BK,WIIK Public Company Limited,1.5,Thailand,SET,stock
0128.KL,Frontken Corporation Berhad,3.86,Kuala Lumpur,KLS,stock
5269.TW,ASMedia Technology Inc.,2535.0,Taiwan,TAI,stock
POEL.BO,POCL Enterprises Limited,285.85,Bombay Stock Exchange,BSE,stock
M5Z.DE,Manz AG,9.06,Frankfurt Stock Exchange,XETRA,stock
0097.KL,ViTrox Corporation Berhad,7.76,Kuala Lumpur,KLS,stock
6192.TW,"Lumax International Corp., Ltd.",100.5,Taiwan,TAI,stock
RBG.L,Revolution Bars Group plc,1.2,London Stock Exchange,LSE,stock
688230.SS,"Shanghai Prisemi Electronics Co.,Ltd.",33.35,Shanghai,SHH,stock
5285.KL,Sime Darby Plantation Berhad,4.34,Kuala Lumpur,KLS,stock
PAY.BR,Payton Planar Magnetics Ltd.,8.0,Brussels,EURONEXT,stock
IRC.BK,Inoue Rubber (Thailand) Public Company Limited,12.6,Thailand,SET,stock
8120.HK,China Demeter Financial Investments Limited,0.126,HKSE,HKSE,stock
RATEGAIN.NS,RateGain Travel Technologies Limited,729.25,National Stock Exchange of India,NSE,stock
7034.KL,Thong Guan Industries Berhad,1.86,Kuala Lumpur,KLS,stock
2339.HK,BeijingWest Industries International Limited,0.23,HKSE,HKSE,stock
